# bytes	latency_usec	bandwidth_MBps
8	96.346	0.083
16	116.680	0.137
32	125.565	0.255
64	96.850	0.661
128	110.032	1.163
256	103.607	2.471
512	88.163	5.807
1024	146.909	6.970
2048	127.838	16.020
4096	106.830	38.341
8192	144.332	56.758
16384	40.698	402.577
32768	27.299	1200.325
65536	54.420	1204.254
131072	103.801	1262.720
262144	205.970	1272.732
524288	331.010	1583.906
1048576	1670.741	627.611
2097152	2606.886	804.466
4194304	4845.164	865.668
