# bytes	latency_usec	bandwidth_MBps
8	1847.058	0.004
16	1334.272	0.012
32	1301.166	0.025
64	1565.904	0.041
128	1444.858	0.089
256	2185.942	0.117
512	5444.859	0.094
1024	4403.892	0.233
2048	3823.944	0.536
4096	2458.296	1.666
8192	4685.333	1.748
16384	4233.859	3.870
32768	13135.680	2.495
65536	16788.400	3.904
131072	230.805	567.891
262144	489.491	535.544
524288	431.459	1215.151
1048576	1227.405	854.303
2097152	15559.141	134.786
4194304	16993.762	246.814
