# bytes	latency_usec	bandwidth_MBps
8	4.608	1.736
16	4.606	3.474
32	4.605	6.949
64	4.623	13.843
128	4.990	25.653
256	5.121	49.989
512	5.372	95.303
1024	5.910	173.275
2048	7.305	280.355
4096	8.711	470.214
8192	10.640	769.947
16384	14.341	1142.420
32768	21.667	1512.343
65536	36.487	1796.140
131072	70.726	1853.236
262144	139.598	1877.851
524288	264.620	1981.285
1048576	698.229	1501.765
2097152	1381.222	1518.331
4194304	2827.084	1483.615
