# bytes	latency_usec	bandwidth_MBps
8	13.250	0.604
16	13.593	1.177
32	14.208	2.252
64	14.159	4.520
128	14.397	8.891
256	14.285	17.921
512	14.796	34.604
1024	15.622	65.548
2048	17.854	114.710
4096	21.788	187.993
8192	25.350	323.155
16384	29.910	547.776
32768	40.114	816.871
65536	61.208	1070.716
131072	111.098	1179.791
262144	205.197	1277.522
524288	397.460	1319.095
1048576	1062.679	986.729
2097152	2082.522	1007.025
4194304	4255.261	985.675
