# bytes	latency_usec	bandwidth_MBps
8	4.610	1.735
16	4.588	3.487
32	4.592	6.968
64	4.606	13.894
128	4.990	25.649
256	5.136	49.848
512	5.370	95.343
1024	5.910	173.258
2048	7.267	281.820
4096	8.716	469.945
8192	10.536	777.511
16384	14.352	1141.601
32768	22.455	1459.294
65536	36.937	1774.287
131072	70.147	1868.532
262144	138.672	1890.393
524288	273.513	1916.866
1048576	675.810	1551.584
2097152	1351.220	1552.043
4194304	2841.037	1476.328
